fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
patchy,50,-28.478112,18.538733,5.282507,-27.425076,23.867537,8.520545,-27.606585,28.881356,11.955250,-28.235410,36.411304,15.100522,-29.474429,47.362770,18.315520,-30.011025,63.084636,22.602514,-30.536821,87.083079,30.047462,-31.602126,132.919167,44.074680,-32.898072,234.838100,84.894075
patchy,51,-35.156791,18.067031,5.619050,-32.666729,24.346555,9.081482,-32.796414,30.629303,12.386410,-31.476001,39.495650,15.407389,-31.780219,53.084528,17.900870,-31.414969,67.249247,22.489367,-32.305115,92.096938,29.607184,-34.435097,136.485510,44.637309,-34.342384,238.506331,85.560825
patchy,52,-31.076211,18.742923,5.947225,-29.942839,25.616241,9.601675,-29.646381,33.661964,12.553619,-29.367883,44.048293,15.131286,-29.099831,55.812697,18.342057,-29.547118,69.778889,23.332587,-30.103257,93.026378,31.464016,-33.311472,136.000175,46.854201,-32.828365,237.326243,88.248669
patchy,53,-28.360234,16.365132,6.506729,-30.235104,24.441389,9.776384,-30.072228,31.549834,13.044943,-29.746413,41.551116,15.863475,-29.373026,53.541374,19.383049,-29.310514,70.797409,23.612982,-30.721095,90.685748,32.659260,-32.120959,133.467926,48.237941,-33.056910,232.390211,91.751608
patchy,54,-27.160647,15.967037,6.248605,-29.798266,22.362262,9.912812,-29.995433,28.597793,13.374093,-29.952566,36.863541,16.910345,-30.044580,51.378861,19.678010,-29.452384,67.162448,24.438090,-30.255782,90.100652,32.592523,-32.827022,131.060961,49.130051,-33.482578,229.332737,91.805536
patchy,55,-34.426953,15.404644,6.166128,-31.756880,21.721513,9.900918,-31.700956,29.023638,13.012517,-31.807805,39.501923,15.648169,-31.930992,52.141284,18.945548,-32.499734,67.774729,24.027583,-32.895246,90.962777,32.256712,-34.487136,132.711621,48.302152,-34.300788,227.892650,91.616415
patchy,56,-30.307388,15.627714,5.784092,-29.078821,21.596047,9.157316,-30.342904,28.260457,12.084525,-31.208982,36.512286,15.202462,-30.996176,48.442908,18.510353,-31.625398,67.088310,22.576029,-33.104865,89.920909,30.292896,-34.707418,133.023970,45.300393,-35.025611,233.870845,86.888102
patchy,57,-31.483141,21.021254,5.498398,-33.554554,25.942958,9.451631,-32.739434,31.818046,13.256606,-32.179544,42.482329,16.166816,-31.533647,56.631412,19.419794,-31.567107,75.379944,23.693932,-32.555510,100.069273,30.991422,-33.655119,141.424131,46.309442,-34.763479,244.283314,89.612660
patchy,58,-34.549703,22.990065,5.364178,-33.619775,27.705822,9.026570,-32.687618,34.642411,12.265280,-31.692235,44.357950,15.111400,-31.314086,57.720381,17.939951,-31.943805,72.890083,22.576109,-33.075466,96.591460,29.994928,-34.367487,140.507035,45.180673,-34.441950,243.938373,85.888850
patchy,59,-33.312169,22.259489,5.050032,-33.887402,26.257756,9.020738,-32.960379,32.215875,12.512955,-32.782189,41.912527,15.361865,-33.499730,55.964147,18.024882,-34.589457,73.842693,21.825428,-34.924784,95.309868,29.145166,-34.466582,140.123184,42.574342,-34.793956,242.917956,83.214531
patchy,60,-33.881845,18.390889,5.569932,-35.510071,25.815054,8.754326,-35.096214,32.171831,12.130119,-35.712603,42.122698,14.815162,-36.353441,53.944462,18.163659,-37.172678,71.047319,22.532593,-37.356771,95.427589,29.948407,-36.507694,139.679642,45.849565,-35.674667,244.700160,86.993989
patchy,61,-35.207087,16.755308,5.681768,-35.702280,22.890782,9.278845,-36.270265,29.825570,12.339604,-37.011459,40.165038,14.953351,-36.464029,52.706323,18.046027,-36.088792,70.639606,22.253945,-35.437019,96.761061,28.848733,-35.469211,136.235851,44.756906,-36.189141,240.023801,85.718736
patchy,62,-36.309751,22.947000,5.317823,-36.046902,27.078805,9.135529,-35.750800,33.694170,12.540070,-35.286664,43.987903,15.405159,-34.570034,58.226259,18.380388,-34.334655,76.414138,22.827724,-34.767399,101.189113,30.246886,-34.509904,139.686114,46.188583,-35.281773,245.847208,87.306939
patchy,63,-37.870673,21.702346,5.165963,-35.508836,26.250744,8.921806,-35.930337,32.159635,12.245230,-35.045975,41.132950,15.252257,-33.973392,53.630939,18.355686,-33.106005,70.217807,22.513692,-32.775464,93.583999,29.904231,-34.528472,137.764667,45.076833,-34.955119,235.844482,86.801254
patchy,64,-35.434593,18.995523,5.248183,-38.012387,24.603805,8.679377,-36.597691,31.032141,11.769792,-35.815053,38.140144,15.147627,-35.567888,49.922292,18.363878,-35.212265,66.303296,22.414321,-34.642503,89.190865,29.468206,-34.352729,132.272425,44.342790,-34.740606,226.996062,87.523356
patchy,65,-35.457406,15.864893,6.139367,-33.973120,24.378628,9.026182,-34.445973,31.047320,12.354362,-33.987107,39.604605,15.729954,-34.593605,54.990649,18.123729,-34.272029,71.768270,22.416191,-35.052193,96.267962,30.079316,-34.901784,144.478178,44.902560,-36.032483,243.261306,86.959323
patchy,66,-32.292789,21.374900,5.561452,-32.267024,27.297819,9.365952,-32.357525,34.303349,12.717950,-32.433353,44.851013,15.625539,-33.881952,58.565772,18.568960,-34.306302,74.010859,23.479506,-35.067392,98.823118,31.368834,-35.243264,141.491522,48.705328,-35.906158,250.068834,88.487086
patchy,67,-30.841555,20.376090,5.538279,-31.761582,27.671953,8.787832,-31.870255,34.722887,11.927937,-33.022128,43.073034,15.118693,-34.050180,55.690711,18.204291,-34.273386,71.955748,22.522065,-34.657958,96.437793,29.589428,-35.653361,135.050447,46.381393,-35.356717,248.003334,85.405958
patchy,68,-34.776856,20.628035,5.558667,-33.884648,27.888080,8.945292,-34.872118,34.856491,12.094684,-35.638337,43.411287,15.397399,-36.831478,55.067251,18.883618,-36.815431,70.445622,24.212978,-37.097795,96.999435,31.869572,-36.110536,141.692585,48.716888,-37.181096,249.755258,90.252238
