fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
interstitial,62,-66.962538,16.684912,7.112827,-66.185404,25.768381,10.905557,-67.075577,36.614239,14.255892,-69.262859,54.256928,16.915671,-69.844254,75.557186,21.287407,-69.756816,105.675210,28.933912,-69.281476,144.353284,44.646393,-69.842623,207.525574,69.165024,-70.296846,324.325463,118.510605
interstitial,63,-65.131196,35.958037,7.232899,-65.034854,40.404093,10.599298,-65.574010,51.854680,14.232265,-66.115363,68.097497,17.822544,-66.992995,87.250244,22.987725,-68.378237,115.098733,30.850692,-69.805463,144.846836,46.879252,-69.392195,202.109174,72.730675,-70.730341,339.673496,116.708564
interstitial,64,-70.144830,23.297050,5.439938,-69.477446,30.035357,9.363730,-69.442213,37.947931,13.154460,-69.052969,51.517057,16.439131,-67.810730,73.361213,20.245431,-66.920879,103.688692,27.288874,-67.576643,137.223286,42.114192,-69.893694,199.398035,65.382026,-70.092995,319.694342,113.295548
interstitial,65,-65.524811,30.843201,5.415357,-65.907554,35.856560,9.306452,-66.399461,43.160184,13.306215,-66.303632,56.843851,16.930480,-65.786441,76.388386,21.324119,-66.357077,102.541952,29.063508,-68.762761,139.290706,44.171023,-71.842650,196.299122,70.825046,-70.363993,316.368358,119.992067
interstitial,66,-65.677467,38.692007,6.901031,-65.967517,42.425565,9.883835,-65.285693,52.345346,13.720007,-65.143690,69.938055,17.150430,-65.446773,93.113408,21.619277,-65.715007,122.761825,29.884464,-67.563025,159.347283,46.286676,-69.122477,209.104907,74.050304,-69.021544,354.072902,116.187437
interstitial,67,-66.585268,31.041777,5.919774,-66.925531,38.947302,9.783298,-66.573745,50.195848,13.407450,-67.525466,68.393023,16.278606,-68.109693,88.144967,20.974063,-68.746349,115.116272,29.025768,-71.223573,152.930796,44.283453,-71.508766,209.724052,70.410435,-70.883188,343.198386,117.643212
interstitial,68,-69.190295,33.684296,6.224687,-69.199763,37.107296,9.543256,-69.910962,45.657462,13.274602,-70.288621,60.438956,16.510999,-70.684468,81.275754,20.448129,-71.333356,110.055719,27.209294,-72.047320,149.091868,40.777263,-72.745245,197.757282,69.307910,-72.906333,333.105663,113.378906
interstitial,69,-70.193354,34.574385,5.704306,-69.543944,38.049287,9.339738,-69.295440,45.805029,13.356083,-68.656810,60.678541,16.741452,-68.678598,79.940258,21.657792,-69.266547,106.826352,30.380723,-71.242447,142.035017,46.515893,-69.794783,201.963412,72.888477,-70.652699,324.209912,120.116239
interstitial,70,-71.866735,24.410413,6.748226,-70.904903,36.358602,10.326182,-70.724872,49.494797,13.496388,-70.428999,66.151779,16.820301,-70.520886,88.370788,21.081604,-70.525365,114.725657,29.684740,-71.913222,148.917110,46.913748,-72.173351,199.114164,75.351874,-72.156772,334.083039,118.886490
interstitial,71,-68.400161,25.569180,6.425976,-67.575070,36.452259,10.231324,-67.314496,48.338104,13.957902,-67.744205,70.988030,16.254568,-67.901740,90.971608,21.378627,-68.448668,117.982248,31.231825,-69.081467,150.051601,49.881600,-70.468090,204.108160,76.544798,-71.796575,342.947497,120.383547
interstitial,72,-65.429874,43.071726,6.038439,-65.661974,42.969659,9.175713,-65.138412,52.881773,12.702885,-64.976239,68.110832,16.233036,-64.817322,90.774055,20.863365,-65.075828,121.771967,29.203203,-66.707049,151.766235,46.325850,-69.170872,209.200412,72.829783,-68.534068,344.707069,117.900640
interstitial,73,-70.297300,30.030264,5.813174,-69.007925,36.962013,9.945371,-69.241490,47.978609,13.701727,-69.490813,67.459074,16.912586,-69.537084,93.470022,21.610021,-70.235115,122.113562,31.391481,-71.332087,158.573444,48.444887,-70.389050,212.544438,75.073484,-70.907778,341.646899,121.005290
interstitial,74,-70.178536,40.200183,6.510741,-69.443752,44.536095,9.675211,-69.723153,54.243827,13.477823,-69.482256,71.520770,17.093650,-68.995184,96.431305,21.281596,-69.211014,125.086645,29.686591,-70.043309,161.686727,46.282851,-71.918916,212.538549,75.921759,-72.377176,351.344717,121.694854
interstitial,75,-68.647850,18.399296,6.600165,-69.206212,27.245115,10.343222,-67.756105,38.523703,13.581926,-67.620325,56.471477,16.284475,-67.168356,81.532096,20.023048,-67.301316,113.383162,27.068788,-68.522300,152.410971,41.242236,-70.514892,196.403294,69.159421,-69.613037,333.700092,113.032665
interstitial,76,-70.896391,28.140560,5.902873,-69.329911,33.966793,9.972478,-68.035047,43.957977,13.562659,-68.235671,58.478292,17.083529,-68.745379,77.949853,22.210101,-69.943628,104.191111,31.741467,-71.035424,139.447424,48.790569,-70.386521,199.697148,73.730078,-70.112650,329.818042,117.661275
interstitial,77,-69.663227,29.017596,5.316311,-69.848677,36.557813,8.999070,-69.166346,44.380440,12.885690,-69.333778,58.110414,16.490093,-68.929331,78.554572,21.292253,-69.222157,108.245904,29.345648,-70.049270,150.065385,43.639290,-70.818892,204.125042,71.138491,-71.027551,335.539180,116.150987
interstitial,78,-69.250109,18.945537,7.034264,-68.301963,28.126228,11.160715,-69.007962,40.478880,14.371963,-68.833940,57.668630,17.486089,-69.009972,79.613025,22.003438,-69.729670,107.705830,30.347015,-69.562664,141.093859,46.621487,-69.258967,201.241000,71.426838,-70.852979,325.983805,120.507877
interstitial,79,-66.373324,31.272677,4.930049,-66.141710,35.642747,8.590063,-66.374472,43.405405,12.078110,-67.160805,58.463519,14.376865,-67.600307,74.457317,18.130107,-68.295518,104.036920,22.849871,-69.309894,145.084745,34.020051,-69.531382,196.488959,61.826055,-70.035104,321.433573,107.570447
interstitial,80,-65.823235,18.939015,6.969393,-66.299584,28.026691,11.068274,-65.496072,40.325748,14.242633,-66.192769,56.077891,17.875071,-67.149373,78.848116,22.575686,-67.671400,105.216669,32.595613,-68.274562,147.639123,48.241468,-70.308532,208.727896,74.386746,-69.752458,330.900300,122.226666
interstitial,81,-63.493055,39.986539,6.640117,-64.283883,41.520345,10.210359,-64.901916,55.377814,13.039372,-65.397249,72.598240,16.042615,-65.729134,93.521812,20.347566,-66.415816,119.843870,28.045255,-68.176967,149.104257,44.900425,-70.895477,213.249124,68.089439,-70.162532,344.445980,113.925752
interstitial,82,-65.669319,22.976369,6.285688,-66.167381,32.277181,10.304292,-66.688116,45.410056,13.518561,-67.231964,67.000862,15.722993,-67.772895,90.468835,19.585840,-68.244360,121.012091,26.840419,-68.836058,149.135204,44.758600,-70.319518,204.159164,74.059463,-70.657769,339.642218,119.175127
interstitial,83,-65.443344,35.497866,5.025639,-64.900671,40.878249,8.921460,-65.301961,53.069737,11.817118,-65.328269,67.323528,15.006779,-65.791318,87.021942,19.491204,-66.679636,121.920834,26.827960,-67.247420,155.032997,45.941580,-68.813425,206.555385,72.735343,-68.208082,350.035500,114.663072
interstitial,84,-65.928770,25.309811,6.149536,-64.768041,34.549572,10.198267,-65.224868,47.348736,13.414583,-65.515693,65.177789,16.453509,-65.744359,85.076905,21.774654,-66.840529,113.097117,30.848994,-67.886048,143.312682,49.996407,-70.330854,201.229555,76.298754,-69.837214,330.829042,121.869852
interstitial,85,-63.958308,42.412375,6.624640,-64.666745,44.573302,9.116612,-64.399076,51.322622,12.596319,-65.142641,63.995495,16.177109,-65.538773,82.527005,20.695644,-66.660640,111.203131,28.594904,-70.130338,142.935611,46.877173,-71.263237,191.767572,75.344851,-70.193160,328.072280,118.500523
interstitial,86,-68.378494,20.597569,5.986518,-68.726075,28.003906,9.895806,-69.254085,37.016530,13.209483,-69.762154,49.373942,16.508157,-69.402743,69.094560,19.874931,-69.269566,95.427853,25.622786,-70.212930,135.018132,38.997808,-71.625127,197.594557,64.491738,-71.315596,314.101587,110.602872
interstitial,87,-72.497399,37.069015,6.229348,-72.773450,39.564220,9.648229,-72.574183,49.398537,13.278907,-72.468235,64.333696,16.860897,-71.753216,87.553669,21.181024,-70.897421,116.208462,29.734387,-71.149858,145.983799,49.820212,-70.869525,202.142942,77.305615,-71.692590,333.248843,123.403241
interstitial,88,-63.269863,26.779236,5.987491,-63.815437,32.688793,10.236530,-61.998561,43.844870,13.404303,-63.167754,58.707497,16.465076,-64.289138,76.582438,20.610660,-65.967927,100.557420,27.822227,-67.526708,138.105580,40.822501,-68.808555,188.991097,68.460438,-68.963198,314.488737,116.786703
interstitial,89,-63.628704,26.664913,6.022888,-64.759072,33.600119,10.127794,-66.160277,44.134159,13.649697,-67.147984,62.097628,16.332612,-67.883861,85.355371,19.614615,-68.479915,112.977950,26.193511,-67.931522,150.883983,39.504453,-69.652723,211.492289,63.193247,-69.574606,347.409516,106.462415
interstitial,90,-71.228375,21.594960,6.170247,-70.986385,29.685180,10.283996,-70.112464,40.832698,13.705567,-69.939721,58.727500,16.077823,-69.081111,80.986286,19.886542,-68.813765,106.317794,27.615083,-69.876990,140.900081,43.940632,-72.162884,199.629656,69.718385,-71.187224,324.227729,117.703487
interstitial,91,-70.179809,33.331898,6.232570,-69.762821,40.789050,10.553196,-69.386456,53.594510,14.192665,-69.014501,69.855459,18.460030,-68.574688,91.083160,24.294218,-68.209883,117.284710,33.848822,-69.842623,156.113157,49.470849,-71.166393,216.723161,74.719636,-71.546262,353.021450,119.504293
interstitial,92,-68.780118,26.802876,5.313060,-68.229009,33.481940,9.291184,-68.173111,41.355787,13.168362,-68.080724,56.525461,16.021997,-68.938465,73.996791,20.587186,-69.537153,101.076545,27.569789,-69.180411,140.410862,39.246687,-70.374333,197.899851,63.198889,-70.614319,324.307135,110.104255
interstitial,93,-66.158023,31.915546,5.582137,-65.845416,36.067250,9.489563,-65.273292,45.525973,13.122342,-65.372752,62.306700,16.006312,-65.251971,83.824457,19.818012,-65.376535,111.960981,26.475656,-66.669052,147.889554,41.516975,-70.408762,202.161614,69.950356,-69.266161,336.115381,114.862864
interstitial,94,-67.413276,34.287729,5.463967,-66.986512,39.202076,9.279610,-66.695616,49.096493,12.691687,-66.901414,65.032416,15.712521,-67.278082,84.350073,20.347949,-68.039977,108.692152,29.190423,-69.291464,139.874211,47.122164,-70.154685,199.627721,73.598484,-72.030498,342.827262,116.698498
interstitial,95,-66.326113,24.065723,5.835194,-66.782017,31.834994,9.684672,-66.103921,40.777642,13.365655,-66.832877,56.970654,16.208658,-66.175874,76.884060,19.834785,-66.082606,106.097756,25.746926,-68.501310,142.161788,39.352094,-68.458122,198.238593,66.053724,-69.657304,327.967743,111.112858
interstitial,96,-71.280536,24.554408,6.191268,-69.746714,33.836139,9.957996,-68.520200,46.378884,12.759267,-68.785556,59.671211,16.342750,-68.233719,76.565307,21.484998,-68.470310,99.247880,30.787252,-69.244489,134.650843,46.042356,-71.073672,194.006829,71.897325,-71.625698,325.369781,116.626983
interstitial,97,-71.333898,28.892178,5.645631,-71.114135,35.412826,9.806487,-71.286917,44.186981,13.850248,-70.902066,60.325501,17.212988,-71.395750,83.468062,21.442832,-71.570158,113.687203,28.975607,-71.611948,147.390135,44.808889,-72.181834,201.283472,70.280358,-71.482755,329.682659,116.289146
interstitial,98,-63.096604,17.542793,7.747376,-65.812430,29.264924,11.127647,-66.242144,44.221988,14.028155,-66.336846,65.139355,16.482841,-66.704900,89.390340,20.672401,-68.259794,117.188743,29.773333,-69.932384,153.521649,46.526426,-70.154185,208.902557,70.109186,-70.643379,338.251472,116.672805
interstitial,99,-64.556078,34.299664,5.726075,-65.672138,38.202628,9.190095,-66.814895,45.999161,12.916983,-66.670332,58.969536,16.350425,-67.479118,78.706235,20.324035,-68.093158,103.568495,27.399168,-68.372882,139.958008,41.277742,-71.940028,206.170264,65.209624,-69.889330,325.556481,114.890426
interstitial,100,-67.837629,28.836396,5.729306,-68.269589,37.057565,9.806380,-68.458830,48.116120,13.187775,-68.629132,64.558498,16.128648,-68.257234,86.478459,19.770212,-68.630559,116.236118,26.124409,-69.144047,148.120653,42.154225,-71.103369,209.998946,67.000321,-71.369581,341.478584,112.191433
