generation_mode,fibro_typename,density,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
threshold,interstitial,0.09600,-1.57080,67,1.432286,21.711258,5.974973,0.668654,28.115267,10.088073,-0.755398,35.973545,13.888632,-1.113643,46.710102,18.220619,-1.976802,61.991778,24.575296,-0.310218,81.367232,36.983963,2.883505,103.925649,63.700052,1.728107,139.925576,102.212573,-1.020572,237.878394,148.196638
threshold,interstitial,0.09600,-1.57080,68,-4.819356,18.497351,6.979734,-1.927445,24.797206,11.511672,-3.363775,30.727894,16.346754,-2.621831,41.122781,20.455334,-1.979656,54.455218,26.619419,-1.391492,76.611541,35.737949,-4.094045,101.319715,60.493027,-1.330069,139.367267,100.465345,-1.785708,228.481801,151.926110
threshold,interstitial,0.09600,-1.57080,69,7.212285,21.065488,6.237939,6.390667,26.246743,11.040011,5.431781,33.648365,15.706260,5.316355,45.565133,20.631405,4.555090,62.875872,27.063447,2.014510,82.134819,38.607869,3.910196,109.069833,59.269800,3.768113,142.929106,102.206441,2.562220,234.227375,156.101041
threshold,interstitial,0.09600,-1.57080,70,5.455564,10.005256,7.136187,2.800780,15.544487,10.739954,4.548905,22.513165,13.701865,3.912180,31.559868,17.509860,3.515158,44.782565,23.616998,3.466940,57.668210,37.354416,8.753012,82.123925,53.663199,9.193096,115.747798,95.156790,7.479841,197.090830,152.127135
threshold,interstitial,0.09600,-1.57080,71,4.380034,17.025341,7.104503,2.992476,24.018949,11.469211,2.696157,32.882321,15.225506,2.697696,44.971231,18.922002,3.144949,58.958420,25.182439,2.952240,77.585270,36.858587,5.425381,97.959285,63.674425,5.926687,142.874974,99.114896,1.268929,231.916171,151.315612
threshold,interstitial,0.09600,-1.57080,72,-3.395868,19.440046,6.356664,-1.770580,23.960804,11.280003,-3.181270,31.594247,15.403510,-3.164802,43.549269,19.760830,-3.214504,61.897710,25.577055,-3.709459,82.070041,37.865160,1.176445,98.315987,65.231083,2.436932,142.439234,95.452680,0.797616,236.503134,148.653758
threshold,interstitial,0.09600,-1.57080,73,13.822988,19.751089,7.056544,11.524498,29.214246,10.950825,9.377878,38.613176,14.824647,7.123682,50.620688,19.322272,6.026999,66.392355,26.201714,3.944277,86.825518,38.210401,-1.705208,108.052988,62.069412,1.373057,143.244044,100.502548,1.552105,240.206650,147.874173
threshold,interstitial,0.09600,-1.57080,74,-4.963545,12.651610,7.141554,-3.914257,19.149223,11.035947,-2.997791,27.051022,14.287305,-1.249928,37.157090,17.632532,1.176817,48.307154,23.783802,2.377796,69.009892,32.057858,3.076713,98.379815,50.270215,1.298152,134.936796,86.981854,-4.115210,217.574130,143.945735
threshold,interstitial,0.09600,-1.57080,75,10.834017,13.774290,7.107553,9.280855,20.725755,10.929776,9.868517,28.640019,14.590225,6.670093,41.013333,18.154292,5.054805,59.268323,22.760225,4.626285,77.819818,34.411456,4.264884,100.660036,56.625015,2.295989,135.902627,95.104984,0.965247,230.043962,146.445904
threshold,interstitial,0.09600,-1.57080,76,-1.203406,16.022012,7.156831,-2.505451,23.476880,11.115999,-1.489391,31.772263,14.924200,-1.004563,42.819943,19.134131,-0.271767,59.598852,24.434715,-0.927599,78.873476,34.615930,1.200819,101.570894,56.585911,6.690739,139.255463,94.125165,-0.769740,235.916635,143.612788
threshold,interstitial,0.09600,-1.57080,77,3.717352,15.475618,7.323572,3.701547,22.936049,11.450826,2.596904,30.898446,15.463875,-0.111490,42.249178,19.773123,-1.009836,56.704055,26.827419,-3.234904,73.905553,40.399827,-0.460187,101.992270,59.718964,-4.251373,140.126583,96.297376,0.626213,227.216301,148.090972
threshold,interstitial,0.09600,-1.57080,78,-1.670972,14.585795,7.349670,0.939901,21.382543,11.563865,-0.000000,29.096644,15.766989,-0.554456,39.175231,20.957758,-0.015812,53.401430,28.591143,-0.080110,72.850517,40.571764,-0.537040,93.690793,65.062578,-4.099220,137.601050,98.201553,-1.378933,230.627252,149.183061
threshold,interstitial,0.09600,-1.57080,79,-1.500904,29.458683,6.527890,-1.403422,33.087187,10.759049,-0.957317,42.736757,14.889757,0.071329,56.859477,19.241830,-0.423950,70.069651,27.878899,-1.620620,86.429322,41.220806,-0.888610,116.798488,60.819935,-1.578471,154.822700,102.652128,1.437334,247.408650,150.118577
threshold,interstitial,0.09600,-1.57080,80,-6.212941,14.483489,8.395323,-6.806570,23.766073,12.210395,-7.260973,34.183110,15.624000,-6.281896,46.890696,19.519962,-4.833889,60.573763,26.543524,-4.213734,76.962298,38.417493,-3.644668,101.286691,60.782931,-3.757737,138.934195,100.022308,-1.242737,228.336152,152.432746
threshold,interstitial,0.09600,-1.57080,81,-11.739281,26.179826,6.209487,-10.439024,30.186427,10.879126,-9.740876,37.740555,15.275278,-7.905038,47.785778,20.442823,-6.252209,61.258919,28.183698,-4.823054,82.308874,40.197422,-7.501429,107.247989,64.347097,-3.156776,146.035048,102.385268,-1.370926,240.262056,150.755707
