fibro_typename,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
compact,0.31416,17,90.000000,5.437704,4.274870,-62.918826,7.676906,6.303315,-80.782526,9.684342,7.931840,-80.441629,12.135727,9.344325,-74.976200,13.883871,11.262519,-78.123367,16.601681,13.050560,-77.113406,19.746080,15.277732,-77.718056,25.923687,18.335780,-80.807441,53.573411,22.324024
compact,0.31416,18,90.000000,5.437704,4.274870,-56.309932,7.220572,6.841565,-87.587423,9.669591,8.327844,90.000000,11.901304,9.865766,-81.728508,14.407641,11.310921,-83.794522,17.100960,13.390997,-83.602469,21.057595,15.658296,-82.284747,29.308103,18.530056,-81.582901,64.508516,23.943991
compact,0.31416,19,90.000000,5.437704,4.274870,0.000000,6.930803,6.930803,-69.183230,9.446423,8.383568,-88.189514,11.428193,10.137420,-72.113684,13.783568,11.831611,-80.208970,16.750242,13.545279,-79.527613,20.014166,16.631522,-81.698322,29.971041,19.244599,-80.529252,67.135805,25.119730
compact,0.31416,20,-77.126702,5.250617,4.217249,90.000000,7.194274,6.020168,-74.810437,9.645563,7.343071,-72.058931,11.372631,9.137985,-80.883754,13.065247,10.913346,-75.068150,15.146539,13.014396,-74.880225,17.709561,15.521807,-81.514791,23.901886,17.942177,-79.295505,50.078262,21.585653
compact,0.31416,21,90.000000,5.437704,4.274870,-81.015430,8.291464,5.925156,90.000000,10.383888,7.615056,90.000000,12.033038,9.513247,-80.447403,14.108315,11.278282,-86.949114,16.686109,13.043856,-86.785626,19.741688,15.342088,-86.094942,26.203372,18.207531,-82.241913,56.275702,23.954634
compact,0.31416,22,-78.801201,5.401104,4.512088,-56.309932,7.503845,6.755814,-86.437492,10.093894,8.374593,-79.940183,12.801609,9.561227,-81.257229,15.134405,11.349019,-77.845444,17.578590,13.463679,-80.130499,21.491236,15.772709,-79.756493,29.375025,18.729657,-79.939084,61.224199,24.607521
compact,0.31416,23,-78.801201,5.401104,4.512088,-68.423805,7.737666,6.770169,-78.875488,10.553839,8.035885,-79.940183,12.801609,9.561227,-78.540627,15.191976,11.308576,-78.855902,17.665729,13.468332,-78.809932,21.925042,15.580059,-78.501758,29.849681,18.535165,-79.925089,61.179418,23.806094
compact,0.31416,24,-63.434949,5.341660,4.932883,-83.104319,8.779780,6.581615,-82.474390,11.134457,8.272666,-74.880734,13.215235,10.219749,-77.447359,15.927726,12.014856,-75.888504,19.451327,13.699560,-77.215961,23.227008,16.566287,-79.666338,33.969166,19.671428,-81.679268,70.935044,26.794764
compact,0.31416,25,0.000000,5.219013,5.219013,-84.479530,8.692744,6.771884,-79.811782,11.519404,8.199407,-86.264220,13.454225,10.429274,-82.092629,16.492949,11.996820,-81.967174,19.404959,14.185246,-79.505649,23.653290,16.792247,-79.712651,34.793156,19.341875,-78.981776,71.863048,27.032442
compact,0.31416,26,90.000000,5.437704,4.274870,-70.206484,7.491907,6.957585,90.000000,9.484130,8.839306,-78.655607,12.681212,9.875406,-82.681872,15.132956,11.709147,-76.009081,17.571337,14.063799,-75.877637,22.420475,16.095243,-78.876854,31.863554,18.706956,-80.287975,65.910860,24.852534
compact,0.31416,27,-63.434949,5.474022,4.641536,-45.000000,7.936742,6.652831,-84.219935,10.542371,8.260841,-75.616175,12.609390,10.128131,-74.368134,15.152609,11.794417,-75.784626,17.527454,14.171656,-73.694422,21.727816,16.458784,-79.724600,31.251655,18.992377,-79.395047,65.294896,25.916976
compact,0.31416,28,90.000000,5.437704,4.274870,-62.918826,7.676906,6.303315,-85.191447,9.697006,8.051174,-83.550624,11.893217,9.650294,-81.701940,14.074095,11.400110,-86.056558,16.396330,13.511733,-81.988000,20.119364,15.782276,-81.410830,28.563422,18.404340,-81.845457,60.801515,23.639530
compact,0.31416,29,-77.126702,5.250617,4.217249,-71.565051,7.120728,6.446852,-70.504503,9.518765,7.763395,-78.229980,11.399300,9.352519,-83.039379,13.217004,11.243339,-75.669848,15.605870,13.026493,-79.535318,18.867373,15.306007,-80.412345,25.646264,17.708453,-79.197794,52.891945,22.856992
compact,0.31416,30,90.000000,5.437704,4.274870,-65.697369,7.396504,6.378620,-58.636524,9.482419,8.189923,90.000000,11.547005,9.798416,-79.874683,13.742450,11.477388,-72.855945,16.129839,13.525453,-78.107537,19.853471,15.600928,-77.210946,27.045765,18.713798,-80.639271,57.722217,23.483819
compact,0.31416,31,90.000000,5.437704,4.274870,-62.918826,7.676906,6.303315,-73.154966,9.621772,8.245594,-81.305011,11.913896,9.522295,-72.785734,13.956888,11.296539,-76.386573,16.552995,13.090579,-75.087782,20.010976,15.263977,-78.196548,25.946768,18.870759,-80.031532,58.768762,23.533867
compact,0.31416,32,90.000000,5.437704,4.274870,-71.565051,7.120728,6.446852,-64.581057,9.488297,8.199118,90.000000,11.612518,9.620381,-72.785734,13.956888,11.296539,-74.991243,16.251869,13.585094,-77.228601,20.049706,15.791014,-77.317051,28.669236,18.441863,-79.601981,60.052067,23.349587
compact,0.31416,33,90.000000,5.437704,4.274870,-65.697369,7.396504,6.378620,-80.782526,9.684342,7.931840,90.000000,11.612518,9.620381,-77.238288,13.818619,11.220260,-78.423814,16.306188,13.127064,-79.129924,19.436772,15.318745,-80.709630,25.649912,18.194781,-81.187602,52.593752,22.828848
compact,0.31416,34,-63.434949,5.341660,4.932883,-83.104319,8.779780,6.581615,-83.502692,10.987581,8.598821,-84.521666,13.327206,10.433084,-84.366557,16.035208,12.103405,-82.804101,19.158037,14.234543,-81.276406,23.681509,16.776977,-83.357031,35.657348,19.597104,-80.286266,77.514220,27.546341
compact,0.31416,35,-78.801201,5.401104,4.512088,-70.206484,7.491907,6.957585,90.000000,9.724960,8.773238,-81.149786,11.943195,10.492312,-84.625192,14.527780,12.385396,-77.136790,17.423858,14.466825,-82.195987,22.225164,17.025961,-81.635006,34.918172,19.081455,-80.143051,73.091404,26.368057
compact,0.31416,36,-77.126702,5.250617,4.217249,90.000000,7.194274,6.020168,-67.953415,9.079479,8.026750,-85.491540,11.040337,9.573138,-83.092487,12.799619,11.324856,-74.518122,15.081885,13.324689,-78.640489,18.137520,15.909443,-77.714365,24.713093,19.448722,-80.936712,55.413862,26.042142
compact,0.31416,37,90.000000,5.437704,4.274870,0.000000,6.930803,6.930803,-61.367613,9.543430,7.999775,90.000000,11.612518,9.620381,-79.002039,13.692962,11.624629,-86.056558,16.396330,13.511733,-80.967348,19.692539,16.180555,-79.893308,27.411958,19.168624,-81.327815,57.292140,25.548055
compact,0.31416,38,-78.801201,5.401104,4.512088,-74.452950,8.509433,6.203726,-85.090350,10.698243,7.905137,-79.940183,12.801609,9.561227,-81.202075,15.090552,11.386468,-78.855902,17.665729,13.468332,-79.986025,21.781746,15.620120,-78.964206,29.918468,18.888398,-79.024994,62.962041,24.873695
compact,0.31416,39,90.000000,5.437704,4.274870,0.000000,6.930803,6.930803,-84.203912,9.615623,8.499306,90.000000,11.266088,10.605334,-73.756093,14.344656,11.923115,-81.221152,17.027442,14.072587,-77.415592,20.939031,16.905124,-81.156035,32.651009,18.955332,-79.934575,64.151575,26.130774
compact,0.31416,40,-63.434949,5.341660,4.932883,90.000000,8.174454,6.890056,90.000000,10.782528,8.517312,-82.187883,13.328409,10.147070,-81.369413,15.745607,11.989551,-80.642136,19.062587,13.921082,-83.662364,23.147504,16.505300,-83.173966,33.293995,19.440067,-80.731504,72.757561,26.691928
compact,0.31416,41,90.000000,5.437704,4.274870,-56.309932,7.503845,6.755814,-86.339085,9.546958,8.672131,-79.940183,12.801609,9.561227,-78.540627,15.191976,11.308576,-76.050648,17.476195,13.774532,-76.326568,21.800865,16.076783,-76.696314,31.426106,18.207582,-78.664593,62.179872,24.446928
compact,0.31416,42,0.000000,5.219013,5.219013,-84.479530,8.692744,6.771884,-81.752199,11.176594,8.563957,-81.390281,13.280450,10.647568,-79.078678,16.102780,12.359640,-79.583668,19.393955,14.509376,-81.082002,24.513839,16.992468,-80.738730,36.890246,20.218976,-80.876129,77.991863,27.375201
compact,0.31416,43,90.000000,5.437704,4.274870,-60.562618,7.585301,6.534775,90.000000,9.977568,8.082904,-84.300618,12.089254,9.600981,-81.728508,14.407641,11.310921,-84.789644,16.669802,13.447308,-81.369693,20.286186,15.714470,-80.200074,28.718865,18.316640,-80.882882,61.894500,23.719541
compact,0.31416,44,63.434949,5.189733,4.033196,90.000000,7.194274,6.020168,81.796614,8.954316,7.851584,85.857039,10.918582,9.198710,86.677361,12.496047,11.211964,84.089256,14.515509,13.151424,87.538186,17.163934,15.641355,-88.166300,22.526256,19.055878,-83.538223,50.639545,23.904767
compact,0.31416,45,90.000000,5.437704,4.274870,-62.918826,7.676906,6.303315,-73.154966,9.621772,8.245594,-83.550624,11.893217,9.650294,-74.754521,13.865789,11.564366,-79.512292,16.397226,13.531166,-79.488077,20.048229,15.641404,-79.132684,27.055600,18.461304,-80.441685,56.027474,23.758136
compact,0.31416,46,-77.126702,5.250617,4.217249,-71.565051,7.120728,6.446852,-66.197329,9.520182,7.892830,-84.435405,11.620846,9.393315,-77.672051,13.426366,11.264803,-72.232465,15.658361,13.233820,-79.222025,18.908006,15.276743,-76.210680,24.535813,18.397036,-77.680882,50.069364,23.128933
compact,0.31416,47,0.000000,5.219013,5.219013,-84.479530,8.692744,6.771884,-81.265083,10.847619,8.807465,-84.914419,13.423778,10.543139,-78.355361,15.683035,12.661831,-81.823638,18.957932,14.772970,-83.225530,23.824677,17.426392,-81.802836,35.835792,20.561653,-81.836294,76.126906,29.464084
