fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90,fibro_type
diffuse,5,24.537665,21.785256,18.146956,-86.752952,73.35476,23.396599,-85.102641,84.895886,26.780923,-84.225443,103.886588,32.563527,-84.268656,130.442936,39.096636,-85.32349,159.09053,52.91887,-84.65591,219.279218,66.957554,-85.530765,328.838119,88.993552,-86.406294,441.75663,135.423267,diffuse
diffuse,6,85.188756,26.710362,19.595027,-85.59445,75.909822,19.457739,-85.293914,85.964434,23.885214,-85.344565,101.8135,31.004576,-84.986539,126.263283,39.053928,-84.69295,163.055134,51.199632,-85.131234,213.835067,67.534736,-85.240689,317.261562,91.200752,-86.290531,441.295717,135.30999,diffuse
diffuse,7,47.127619,18.436384,17.084651,86.00795,65.356057,18.950711,-88.151071,78.051318,25.373114,-85.35332,97.40028,31.735272,-84.534605,125.630452,38.032523,-85.382831,157.963034,49.912269,-84.486467,214.215151,65.348294,-85.233316,315.794443,88.177851,-87.177282,442.840896,131.677888,diffuse
diffuse,8,49.0628,14.929551,13.752961,84.680342,65.070963,20.691659,89.045263,77.144683,25.38043,-86.15305,90.690826,33.131295,-84.339851,121.854581,38.589456,-84.874974,156.461211,50.117902,-84.876418,217.282597,63.840216,-85.075414,306.599118,89.882394,-87.016977,441.019496,132.547446,diffuse
diffuse,9,-73.249821,34.635444,17.842709,-82.215452,72.879652,19.608664,-84.391451,83.304552,25.825377,-84.238882,101.509725,32.902129,-84.493671,126.782556,41.53093,-84.797335,168.864564,51.583631,-84.655364,226.890397,66.531375,-84.942973,321.983071,92.114992,-87.705084,446.84125,135.545157,diffuse
diffuse,10,-82.541838,56.723612,21.243982,-85.478546,72.229572,22.292612,-84.674738,83.190423,25.98892,-84.027145,101.355397,32.682732,-84.48211,132.432573,38.957575,-83.687747,166.74259,51.222944,-84.366312,216.673612,67.728545,-84.721703,320.806981,90.496421,-87.954301,443.070626,134.756241,diffuse
diffuse,11,-86.317923,67.91988,17.464967,-86.246906,78.176145,20.346547,-84.593576,84.109373,25.415117,-84.5819,102.765291,32.117638,-84.143357,131.070151,39.228233,-84.124723,161.993882,52.649611,-84.59122,216.365238,68.650339,-84.602935,324.668,90.398041,-87.902245,441.78311,135.23724,diffuse
diffuse,12,-84.230218,82.52417,14.769116,-85.06801,90.495514,20.65946,-85.29464,87.655555,26.131675,-84.898593,101.224431,33.760667,-84.226235,129.906042,41.188389,-84.458221,172.259361,51.979299,-84.156366,230.336485,67.587317,-85.01406,335.386515,89.784291,-87.973654,446.256652,137.011028,diffuse
diffuse,13,23.25192,18.647084,16.360889,-88.36098,82.060168,21.822319,-87.290943,87.979688,26.179189,-84.786408,95.74845,33.195295,-84.176324,120.627354,41.014774,-84.497735,163.025606,51.504822,-83.932941,224.820125,65.637176,-85.25802,323.975015,89.96934,-87.153525,441.494734,135.132344,diffuse
diffuse,14,-89.620445,47.175873,17.798185,-85.199278,80.302605,22.556892,-84.129122,84.23103,26.043318,-84.182923,95.437571,32.492848,-84.146834,118.221061,41.297395,-84.402998,163.177069,51.154559,-84.255146,221.064175,66.885435,-83.926649,319.439317,92.676627,-87.069923,444.324408,135.234933,diffuse
diffuse,15,34.57954,19.720557,19.191999,-81.252728,81.489385,21.412037,-82.301022,86.138485,24.328454,-83.65971,100.348928,31.774521,-83.651929,125.733149,40.096962,-83.339476,164.391339,51.917081,-83.933568,219.310958,67.764655,-84.356504,319.039099,92.303654,-86.456842,440.288277,137.620303,diffuse
diffuse,16,-82.277709,31.76295,21.105315,-85.626107,73.414452,21.993525,-84.316028,84.259533,25.247637,-83.874855,99.301463,32.29238,-83.388599,126.27555,40.288656,-84.144793,166.040208,51.333189,-83.716906,220.822999,66.673343,-84.799099,307.126103,94.390735,-86.935717,440.15732,136.833999,diffuse
diffuse,17,74.424377,28.8189,19.454182,-88.420007,68.606559,21.47974,-84.813403,80.152081,25.210702,-83.626463,96.973129,31.572312,-83.614083,121.465736,39.65156,-84.074035,163.752729,50.893154,-84.313646,211.31878,67.425296,-84.466978,305.468917,92.782711,-86.998969,441.794563,133.415694,diffuse
diffuse,18,24.247261,23.267823,18.795054,-86.993247,61.247844,23.166109,-86.323039,75.102207,26.066992,-85.013383,96.66938,31.310715,-84.077196,121.993956,38.487079,-83.946701,159.189729,50.392842,-84.820824,215.446048,65.802729,-84.92135,315.745344,89.803314,-86.33632,440.54862,133.237796,diffuse
diffuse,19,33.045347,16.010692,14.011989,-86.134694,71.155708,20.779828,-83.896249,78.727516,23.225329,-83.981603,93.025836,29.68276,-83.942904,116.882544,37.591082,-83.614074,154.611294,49.064703,-83.818108,210.453279,65.151602,-84.153038,310.990367,88.576646,-87.415018,434.181253,133.814759,diffuse
diffuse,20,28.978242,19.253314,15.43743,-85.466568,79.678804,20.949817,-85.00843,82.731412,24.227419,-83.934168,94.806157,30.573081,-83.736425,120.854141,37.656559,-84.486249,158.986183,48.983622,-84.069986,212.998079,64.394587,-84.710408,313.637524,88.187377,-87.584347,442.896424,132.154303,diffuse
diffuse,21,29.744881,15.97498,15.637562,-84.436329,71.142268,17.95469,-83.633981,77.233365,23.087111,-82.830734,90.821512,31.285179,-82.9374,119.887326,38.700577,-84.548089,160.394495,50.002977,-84.296034,216.799694,65.679273,-85.308911,315.982517,91.274251,-87.61285,440.980337,133.822815,diffuse
diffuse,22,28.336855,14.91269,13.682899,-85.066064,70.64254,16.993377,-85.313537,78.426133,22.714093,-83.907799,92.304882,30.709624,-83.350402,122.067184,38.380724,-84.559689,165.680415,50.210615,-84.539426,221.46582,64.715733,-84.901577,319.991735,88.181392,-87.512295,444.082578,132.870352,diffuse
diffuse,23,86.738648,27.08392,19.741869,-87.023819,77.653577,21.298155,-84.645269,82.415521,26.314898,-83.430472,100.699811,33.476413,-83.569953,127.860806,39.996279,-83.550216,164.029611,51.860612,-83.487852,220.730685,67.337459,-84.742939,314.298866,93.744219,-87.030414,442.54149,135.897148,diffuse
diffuse,24,-85.363613,40.370176,24.10865,-86.286042,74.230084,24.672336,-85.388984,81.847988,27.429871,-84.621639,97.715647,34.469731,-83.457698,125.282489,42.496191,-83.127816,166.575055,53.177232,-83.506416,217.036977,69.911775,-84.941368,310.90992,95.388805,-87.147163,440.855484,137.804693,diffuse
diffuse,25,-81.25179,48.266612,22.660535,-82.40031,73.019209,24.53807,-84.063686,83.39821,27.530455,-83.531266,98.183797,34.128561,-84.019014,127.417539,42.725518,-85.35093,165.177163,54.308159,-84.294631,221.031752,68.425007,-85.329878,315.411207,93.176161,-86.656472,441.343224,137.422849,diffuse
diffuse,26,14.574782,19.179272,16.901445,-81.45497,62.814999,26.205709,-85.352942,79.946302,27.415772,-85.249841,96.654862,33.372497,-84.032738,127.782208,39.680786,-84.64977,157.218688,53.209654,-83.907794,223.011024,66.604824,-84.99193,320.918338,91.760667,-86.860302,442.919344,135.674618,diffuse
diffuse,27,57.502053,19.905608,17.942331,-87.602977,82.227384,21.006007,-86.365863,87.313502,24.825274,-85.386524,100.057067,32.239139,-84.413865,128.079493,39.328216,-83.738952,162.600476,52.488161,-83.233579,223.011658,67.449044,-84.748882,323.36986,91.505712,-87.508478,442.358007,136.477792,diffuse
diffuse,28,61.054238,17.938545,17.256235,-84.996249,87.705206,18.671415,-86.880793,90.853562,24.789706,-85.645848,100.43679,32.186114,-84.091512,131.506052,39.204735,-83.717122,173.538992,50.91888,-84.280802,228.178015,66.901061,-84.902345,322.261453,93.181078,-87.307804,447.872147,135.543048,diffuse
