PC1,PC2,fibro_type
0.8937144230131792,-2.240929185491906,interstitial
1.8447897885297273,-2.0722226221331628,interstitial
1.1989437971008698,-2.179643751108719,interstitial
2.0434469516171947,-1.6905369830996861,interstitial
1.6610081254397526,-1.8825790316432407,interstitial
1.90147460710077,-1.934899458323504,interstitial
2.3491141324623466,-1.4637258478757744,interstitial
1.1189346503015314,-2.12609705574804,interstitial
2.487802326402822,-1.7011540776567877,interstitial
1.4749109770190691,-2.104041492312243,interstitial
0.8946295503588775,-2.3020972968771702,interstitial
1.4530295409658507,-2.2004543409180077,interstitial
1.4274483771734763,-2.21474873758073,interstitial
1.7211758309945546,-1.9311155546324255,interstitial
1.5006629900328272,-1.8245584615151222,interstitial
1.3707824920710376,-2.124328232813566,interstitial
1.7008790652893526,-1.7052488457160813,interstitial
1.419149629751636,-1.9142982504114308,interstitial
1.0203885096934495,-2.20230732669603,interstitial
1.073459394776554,-2.080807544162885,interstitial
1.860422170322323,-1.7853736392299724,interstitial
2.370902794317291,-1.6765409711075445,interstitial
1.8924293618571704,-1.914623830664054,interstitial
0.6656401888089339,-2.3653027655818444,interstitial
2.085835492489934,-1.8027584322263523,interstitial
1.9003828973721593,-1.8870471696462836,interstitial
1.4195363373573895,-1.9200038752408037,interstitial
1.7253896522553769,-1.9192291612370844,interstitial
1.6850187005013706,-1.9242663658796915,interstitial
2.3146105742489915,-1.4037786978078204,interstitial
1.69416270320342,-1.6427341938323392,interstitial
1.3751088468077075,-1.9124088864732995,interstitial
0.8401645694892016,-2.0531423392543355,interstitial
1.9837847607609018,-1.8379486560419274,interstitial
0.9712962758648366,-2.2618985374494995,interstitial
0.8729653055826667,-2.0664177351576885,interstitial
1.692633983183127,-1.967726144823454,interstitial
1.4788600189183332,-1.9200457588768438,interstitial
1.2748232765892331,-1.75687160463339,interstitial
2.021020621287879,-1.5860769344535712,interstitial
1.032286459438746,-2.1104141427594825,interstitial
1.373688569409746,-1.988451914317349,interstitial
2.1009581610691934,-1.685526011529753,interstitial
1.791512990252317,-1.869032536448576,interstitial
1.5545274154173043,-2.081296586418447,interstitial
1.6776870060600555,-2.0016431052210946,interstitial
1.8334269588332557,-1.8137637407817437,interstitial
1.931790296235715,-1.7034834585109733,interstitial
1.953861710134132,-1.9078712311998876,interstitial
2.0226992189425412,-1.8212576050291307,interstitial
2.2935493429315734,-1.8519619833656218,interstitial
1.2178481181493224,-1.904624921447058,interstitial
1.6085413069292702,-1.8739224469799598,interstitial
1.4946062101250865,-2.06050456225714,interstitial
1.5012208281800667,-1.6915526269768884,interstitial
0.8833888482781195,-2.3764491485144164,interstitial
1.5690612766601482,-1.5769696085445313,interstitial
1.9347077227406302,-1.7967096297570573,interstitial
1.5923170135544227,-1.8612385014275357,interstitial
1.674109818524955,-2.0638302000380553,interstitial
1.7108847963052205,-1.7209385873505918,interstitial
1.7905892993017796,-1.9461049641107113,interstitial
0.861536148869758,-2.1178466160644476,interstitial
2.0264358095406507,-2.004225790760726,interstitial
1.1724573516143875,-1.8737580303459354,interstitial
1.3409804074308886,-1.891125606183937,interstitial
1.3250228465660565,-2.0002650941512363,interstitial
2.3027543526009606,-1.5698964739054944,interstitial
1.1014608568663733,-2.113053224171113,interstitial
1.4220455278120163,-2.01425062139829,interstitial
1.655710395360106,-2.020810844187684,interstitial
1.0846366630935034,-2.009733164326454,interstitial
1.42368693765792,-1.9231959164634067,interstitial
1.6472911246713144,-1.9820978384170422,interstitial
1.6213463036789646,-1.559294474875869,interstitial
1.3631716113680477,-2.0513519883541163,interstitial
1.5358563297412156,-1.989268710166857,interstitial
-1.5520956631855873,-1.475131591678221,patchy
-1.6589519269578217,-1.5390085075709623,patchy
-1.384964316286042,-1.37969472943466,patchy
-1.0474764924252633,-1.4757112639206706,patchy
-1.219569273873128,-1.4809181880295812,patchy
-1.6997092008287975,-1.6594256204845972,patchy
-1.7005048568658694,-1.6220930015974384,patchy
-1.5273333796371156,-1.4724416328639824,patchy
-1.0108094927691742,-1.2457105032265203,patchy
-0.9819415139369044,-1.4169170201910801,patchy
-1.1557687358398974,-1.4992713425496458,patchy
-1.3375260452301205,-1.469253128351636,patchy
-1.2638373672814216,-1.466521927117907,patchy
-1.1317252349629272,-1.3220488727651818,patchy
-1.3197565794901551,-1.2923020328329387,patchy
-1.3998777468564314,-1.346917318895744,patchy
-1.266404926732552,-1.4534961300942129,patchy
-1.1658299235646516,-1.5660794020284439,patchy
-1.1516591023375686,-1.383002354532069,patchy
-1.076042866937597,-1.3039036804969428,patchy
-1.2779255739785917,-1.5335749404338932,patchy
-1.3328842905652634,-1.6322593523356024,patchy
-1.238300156742526,-1.4827333938222405,patchy
-1.4490769544157045,-1.563943358490796,patchy
-1.2039761498534778,-1.5647190544150196,patchy
-1.5609542577931168,-1.5044344012527744,patchy
-1.4534709280337035,-1.284199816296662,patchy
-1.4686432463282777,-1.0937067743906537,patchy
-1.3950696501956465,-1.1207973467598624,patchy
-1.5039759960977515,-1.088923885044932,patchy
-1.4146622614405686,-1.243882327531681,patchy
-1.481059372680744,-1.4152029195419056,patchy
-1.6711488951833111,-1.4322877318176896,patchy
-1.690084778918721,-1.3574507709484702,patchy
-1.3438003349254124,-1.3041504144974332,patchy
-1.3624175601236828,-1.1622743825675657,patchy
-1.3809132799223554,-1.3202166010631615,patchy
-1.0094572425937338,-1.3367945262548677,patchy
-0.988506469195568,-1.3774267158745408,patchy
-0.7905580229748913,-1.356410049521134,patchy
-1.3039944161740018,-1.2976656531082333,patchy
-1.4632977768430764,-1.446855758057064,patchy
-1.5129982561968214,-1.40320674819666,patchy
-1.1695638920366715,-1.2566791272080797,patchy
-1.2655602457627875,-1.2392483803509555,patchy
-1.1805862612984712,-1.2260489419853828,patchy
-1.2690690278703907,-1.2705102969002808,patchy
-1.2297699800976807,-1.2118160471229162,patchy
-1.5114925522572606,-1.3725066081856117,patchy
-1.6217313576156602,-1.306502154048933,patchy
-1.391221382267742,-1.3282308027837895,patchy
-1.2529966346328731,-1.1449056628986511,patchy
-1.2316374568437032,-1.0274467822109734,patchy
-1.2906474105008936,-1.0099187398341274,patchy
-1.2864352945041078,-1.174807428065649,patchy
-1.5222837727482823,-1.2881502783947882,patchy
-1.075119791779766,-1.177150638644194,patchy
-1.1707877681336196,-1.3387486639452266,patchy
-1.2659680357456853,-1.3866404170095132,patchy
-1.2255319544107852,-1.422718676005007,patchy
-1.3233279356133807,-1.4144195504069887,patchy
-1.0531835098928348,-1.3744111342171976,patchy
-1.2533130930864815,-1.435779462984964,patchy
-1.4091620914483707,-1.4956913231779452,patchy
-1.2576525554546396,-1.303376651016465,patchy
-1.0172238626478416,-1.2415039978135487,patchy
-1.2163365810616356,-1.3320711470398705,patchy
-1.0151692252880882,-1.346990253162888,patchy
-1.3414477239134797,-1.4481372611290098,patchy
-1.4338960671130374,-1.3867332622346307,patchy
-1.3738080118738891,-1.4586282371080748,patchy
-1.4437914601513244,-1.5118703590057556,patchy
-1.4316922091199895,-1.4861067295845627,patchy
-1.3877069765241439,-1.3260578842400932,patchy
-1.378799968311987,-1.2422567381100962,patchy
-1.361631161324913,-1.241805520507449,patchy
-1.426253365975401,-1.320243377634453,patchy
-1.3314185460536725,-1.3021430173290498,patchy
-1.1198442621451612,-1.2894903831114866,patchy
-1.1110593071686112,-1.4061223611338842,patchy
-1.3151528801089776,-1.3537414743354033,patchy
-1.2669221818702798,-1.258163996471167,patchy
-1.370261233824994,-1.1206398375865707,patchy
-1.4333898166534509,-1.0316548731412667,patchy
-1.3936470603144662,-1.1679932845924168,patchy
-1.3024414068439376,-1.161982179867957,patchy
-1.47881823124643,-1.33408664034387,patchy
-1.5315922641091089,-1.2547678860941196,patchy
-1.4768396786032418,-1.4061564210022117,patchy
-1.4131573836881706,-1.3131755333641304,patchy
-1.6975248602758743,-1.2617528359160306,patchy
-1.9068315273584604,-1.1771971329752566,patchy
-1.7929467250363849,-1.265687741323038,patchy
-1.4731542396753232,-1.2878710137513034,patchy
-1.407638346003234,-1.2263840026229507,patchy
-1.2113367782671252,-1.4070237061556092,patchy
-1.366566548371924,-1.5074517283510112,patchy
-1.26861187785542,-1.6314057974934666,patchy
-1.0227914419167905,-1.6193033915793267,patchy
-0.9748424934766574,-1.4136196788589828,patchy
